response_id,university,Question_type,true_label,predicted_label,confidence
R_2rCa1N6N3d3HwaW,"UTEP: University of Texas, El Paso",Q1_UTEP,0,0,0.9926328063011169
R_1l6k4qkDrqMeRvb,"UTEP: University of Texas, El Paso",Q1_UTEP,1,0,0.989922821521759
R_3NIlzVxxdTzlwpc,"UTEP: University of Texas, El Paso",Q1_UTEP,1,0,0.9806758165359497
R_2WPGuT5oAsecvWe,"UTEP: University of Texas, El Paso",Q1_UTEP,0,0,0.9915886521339417
R_2wzPuumMQ1zGGe4,"UTEP: University of Texas, El Paso",Q1_UTEP,0,0,0.9908891320228577
R_1jCjVLKNgb2huSg,"UTEP: University of Texas, El Paso",Q1_UTEP,0,0,0.9919514656066895
R_7IPME13SknzIWBL,ISU: Iowa State University,Q3_ISU,1,0,0.9847565293312073
R_5Ddtdgsx9r0zrQc,ISU: Iowa State University,Q3_ISU,0,0,0.9936000108718872
R_1e5v6fwwBF04jrM,ISU: Iowa State University,Q3_ISU,0,0,0.992980420589447
R_1jNVk8aO7n6DGcI,ISU: Iowa State University,Q3_ISU,1,0,0.9920346140861511
R_1f8rzzLS6uKlRkw,ISU: Iowa State University,Q3_ISU,1,0,0.9875099658966064
R_6e8RHrMXSwpiDIZ,ISU: Iowa State University,Q3_ISU,0,0,0.9592607021331787
R_34ywUo6x0ujtnJT,ISU: Iowa State University,Q3_ISU,2,0,0.9917808175086975
R_5rT1LgRg1A2Kkya,ISU: Iowa State University,Q3_ISU,0,0,0.9895557761192322
R_5Gjj4Jg955jPXVo,ISU: Iowa State University,Q3_ISU,1,0,0.9930455088615417
R_6gJV0etfg9R0cnf,ISU: Iowa State University,Q3_ISU,1,0,0.9905101656913757
R_3xFBEh15xQlVRnq,ISU: Iowa State University,Q3_ISU,0,0,0.99357670545578
R_6PG1Cuv76VepqWl,ISU: Iowa State University,Q3_ISU,0,0,0.993040919303894
R_71gpBDaoM71iOWd,ISU: Iowa State University,Q3_ISU,0,0,0.9932021498680115
R_35Lcxmkaz67yob7,ISU: Iowa State University,Q3_ISU,1,0,0.9820788502693176
R_58R6JUKSuomDZAJ,ISU: Iowa State University,Q3_ISU,0,0,0.9875929951667786
R_5gBZoyE4vNPGlI5,ISU: Iowa State University,Q3_ISU,0,0,0.9295137524604797
R_1eA84Im7beahoY1,ISU: Iowa State University,Q3_ISU,0,0,0.9935067892074585
R_7fdTODCfM0sSAS3,ISU: Iowa State University,Q3_ISU,0,0,0.9927144646644592
R_1hMg5JnEnxc5DvY,ISU: Iowa State University,Q3_ISU,0,0,0.9938538074493408
R_11ggthKN9fi3OAX,ISU: Iowa State University,Q3_ISU,0,0,0.9931949377059937
R_5pgaq0pYCpZl0Yn,ISU: Iowa State University,Q3_ISU,0,0,0.9902474284172058
R_6yeK7gFLIyf5hg3,ISU: Iowa State University,Q3_ISU,0,0,0.9893675446510315
R_1nX6cppexZiCa3f,ISU: Iowa State University,Q3_ISU,1,0,0.984954833984375
R_32lNgQM6f5cqFfH,ISU: Iowa State University,Q3_ISU,0,0,0.9895418882369995
R_7eskBBLFPrXiCcX,ISU: Iowa State University,Q3_ISU,0,0,0.9909329414367676
R_6S6l3EmaWPCUCtQ,ISU: Iowa State University,Q3_ISU,0,0,0.9937720894813538
R_1OnLYobBrU0J9n3,ISU: Iowa State University,Q4_ISU,0,2,0.9634702801704407
R_6KW9lx7XeHmSWuY,ISU: Iowa State University,Q4_ISU,1,2,0.9867472648620605
R_6H1CDySa09NOhIF,ISU: Iowa State University,Q4_ISU,1,2,0.976373553276062
R_5daTTG5Nj0bpgIQ,ISU: Iowa State University,Q4_ISU,0,2,0.9195533394813538
R_3clD3zfmf2dSJC9,ISU: Iowa State University,Q4_ISU,0,0,0.9967293739318848
R_1M3gVjepPyGy6gQ,ISU: Iowa State University,Q4_ISU,2,2,0.9908369779586792
R_1oAxLJaF7Ca3G4k,ISU: Iowa State University,Q4_ISU,0,0,0.9960875511169434
R_1ctEuox4xtQMb32,ISU: Iowa State University,Q4_ISU,1,2,0.8537402749061584
R_1zItB9clYizWYzB,ISU: Iowa State University,Q4_ISU,0,0,0.9955037236213684
R_7qwjqzh8MkMxwkl,ISU: Iowa State University,Q4_ISU,0,0,0.9962130784988403
R_1VR7Wcu6KzUgkBs,ISU: Iowa State University,Q4_ISU,0,2,0.787198007106781
R_6rRMoJwCrYSQv8B,ISU: Iowa State University,Q4_ISU,1,2,0.45511525869369507
R_7PTTlI8rRTywj9x,ISU: Iowa State University,Q4_ISU,1,1,0.9293635487556458
R_2AHnha63e5ixr3O,UF: University of Florida,Q2_UF,0,1,0.9827808141708374
R_ePypgfabK1EGpoZ,UF: University of Florida,Q2_UF,0,0,0.9961802959442139
R_2yjCOIGcNitkSe9,UF: University of Florida,Q2_UF,0,0,0.994669497013092
